Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,39.907,40.159,39.546,39.988,3126600,0.0,0.0
2017-01-04,40.15,40.556,40.051,40.313,1787300,0.0,0.0
2017-01-05,40.322,40.502,40.114,40.484,1358300,0.0,0.0
2017-01-06,40.466,40.556,40.087,40.466,1192000,0.0,0.0
2017-01-09,40.267,40.34,39.582,39.952,1441000,0.0,0.0
2017-01-10,40.006,40.069,39.131,39.302,1854900,0.0,0.0
2017-01-11,39.275,39.51,39.122,39.284,1939000,0.0,0.0
2017-01-12,39.302,39.411,39.014,39.203,1927900,0.0,0.0
2017-01-13,39.275,39.573,39.212,39.483,1187300,0.0,0.0
2017-01-17,39.528,40.358,39.492,40.15,1556700,0.0,0.0
2017-01-18,39.979,40.466,39.907,40.349,2302600,0.0,0.0
2017-01-19,40.213,40.565,40.087,40.52,2514400,0.0,0.0
2017-01-20,40.583,41.124,40.574,41.079,3588400,0.0,0.0
2017-01-23,40.917,41.088,40.592,41.061,2725600,0.0,0.0
2017-01-24,41.025,41.62,40.872,41.566,1859000,0.0,0.0
2017-01-25,41.62,42.071,41.503,41.692,3114500,0.0,0.0
2017-01-26,41.629,41.719,41.395,41.575,1788700,0.0,0.0
2017-01-27,41.25,41.278,40.556,40.89,2792100,0.0,0.0
2017-01-30,40.718,41.034,40.682,40.863,1872800,0.0,0.0
2017-01-31,40.926,41.097,40.682,40.782,5847300,0.0,0.0
2017-02-01,40.655,41.052,40.547,40.809,2070900,0.0,0.0
2017-02-02,40.917,41.25,40.637,41.061,1674100,0.0,0.0
2017-02-03,41.377,41.593,41.196,41.314,1371900,0.0,0.0
2017-02-06,41.241,41.413,40.908,40.989,2663200,0.0,0.0
2017-02-07,42.179,42.892,41.828,42.63,4338700,0.0,0.0
2017-02-08,42.838,43.334,42.648,43.135,3117900,0.0,0.0
2017-02-09,43.135,43.595,43.036,43.352,2012400,0.0,0.0
2017-02-10,43.325,43.658,43.28,43.505,1826700,0.0,0.0
2017-02-13,43.604,43.875,43.46,43.667,1516400,0.0,0.0
2017-02-14,43.442,43.803,43.325,43.767,1572600,0.0,0.0
2017-02-15,43.875,44.398,43.703,44.001,3144400,0.0,0.0
2017-02-16,44.046,44.327,43.702,44.3,1558000,0.19,0.0
2017-02-17,44.608,45.142,44.544,44.997,3483500,0.0,0.0
2017-02-21,44.952,45.196,44.825,44.916,2716000,0.0,0.0
2017-02-22,44.888,45.042,44.526,44.988,2707600,0.0,0.0
