Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,91.864,92.83,91.66,92.192,3379100,0.0,0.0
2017-01-04,92.449,94.363,92.236,93.76,4439000,0.0,0.0
2017-01-05,93.601,94.141,93.069,93.344,2328300,0.0,0.0
2017-01-06,93.743,94.584,93.397,94.354,2633300,0.0,0.0
2017-01-09,93.867,94.194,92.901,93.202,2195000,0.0,0.0
2017-01-10,93.034,93.344,92.706,92.936,1745100,0.0,0.0
2017-01-11,93.122,93.769,93.007,93.663,1235300,0.0,0.0
2017-01-12,93.176,93.415,92.139,93.184,2166000,0.0,0.0
2017-01-13,93.53,93.92,92.998,93.734,1360500,0.0,0.0
2017-01-17,93.663,93.663,92.236,92.449,2438800,0.0,0.0
2017-01-18,92.998,93.61,92.546,93.246,1941200,0.0,0.0
2017-01-19,93.415,93.654,92.963,93.052,1526100,0.0,0.0
2017-01-20,93.45,94.832,93.069,94.576,2843900,0.0,0.0
2017-01-23,94.62,95.072,94.319,94.912,2073100,0.0,0.0
2017-01-24,94.248,95.692,94.248,95.4,2277800,0.0,0.0
2017-01-25,95.532,96.108,95.32,95.745,2181200,0.0,0.0
2017-01-26,95.648,95.763,94.744,95.364,1560000,0.0,0.0
2017-01-27,95.515,95.683,94.894,95.683,1220700,0.0,0.0
2017-01-30,95.453,95.453,94.319,94.859,2420700,0.0,0.0
2017-01-31,94.195,94.939,93.601,94.85,1645800,0.0,0.0
2017-02-01,95.072,95.568,94.496,94.939,1375100,0.0,0.0
2017-02-02,94.939,95.32,94.469,95.187,1167600,0.0,0.0
2017-02-03,95.258,95.763,95.054,95.683,1895100,0.0,0.0
2017-02-06,95.479,95.825,95.205,95.745,2022300,0.0,0.0
2017-02-07,96.126,96.489,95.754,96.365,1755900,0.0,0.0
2017-02-08,95.94,96.179,95.47,96.055,1605900,0.0,0.0
2017-02-09,96.055,96.746,95.772,96.684,2715500,0.0,0.0
2017-02-10,96.799,97.81,96.711,97.677,2757800,0.0,0.0
2017-02-13,97.437,99.396,97.039,98.129,2704100,0.0,0.0
2017-02-14,97.358,97.836,96.631,97.508,3521100,0.0,0.0
2017-02-15,96.649,97.172,95.967,96.684,5231900,0.0,0.0
2017-02-16,96.711,96.932,95.656,96.729,4757900,0.0,0.0
2017-02-17,99.032,99.378,95.497,97.703,6717800,0.0,0.0
2017-02-21,97.677,97.703,96.179,97.118,3355000,0.0,0.0
2017-02-22,96.401,97.393,96.312,97.154,4206300,0.0,0.0
2017-02-23,97.065,97.198,94.558,95.453,4170700,0.0,0.0
2017-02-24,95.045,96.286,94.877,96.241,2166400,0.0,0.0
2017-02-27,96.268,97.234,96.188,97.03,1835200,0.0,0.0
2017-02-28,96.498,98.013,96.498,97.012,2812500,0.0,0.0
2017-03-01,98.102,99.041,98.093,98.545,2859800,0.0,0.0
2017-03-02,98.146,98.554,96.915,97.056,2348400,0.0,0.0
2017-03-03,96.95,98.359,96.454,98.199,1886800,0.0,0.0
2017-03-06,97.384,98.403,97.207,98.208,1688700,0.0,0.0
2017-03-07,98.199,98.306,97.482,97.677,1640000,0.0,0.0
2017-03-08,97.854,98.625,97.597,97.88,1892600,0.0,0.0
2017-03-09,97.942,98.261,96.41,97.092,2125600,0.0,0.0
2017-03-10,97.313,97.464,96.472,97.393,1876800,0.0,0.0
2017-03-13,97.615,98.058,96.888,97.358,1450700,0.0,0.0
2017-03-14,96.844,97.101,96.259,96.764,1504100,0.0,0.0
2017-03-15,97.101,98.634,96.729,98.164,2580000,0.0,0.0
2017-03-16,98.527,98.589,97.836,98.111,1378900,0.0,0.0
2017-03-17,98.12,98.447,97.668,97.863,4122200,0.0,0.0
2017-03-20,97.872,98.518,97.375,98.244,1360200,0.0,0.0
2017-03-21,98.58,98.784,96.702,97.118,2261800,0.0,0.0
2017-03-22,97.198,97.677,96.667,97.26,1650600,0.0,0.0
2017-03-23,97.34,98.093,96.808,97.048,1046500,0.0,0.0
2017-03-24,97.048,97.677,95.993,96.56,1844700,0.0,0.0
2017-03-27,95.346,95.683,94.744,94.948,3473100,0.0,0.0
2017-03-28,95.081,96.17,95.081,95.984,1864900,0.0,0.0
2017-03-29,95.913,96.519,95.655,96.385,1615000,0.6,0.0
2017-03-30,96.519,97.499,96.448,97.267,1091300,0.0,0.0
2017-03-31,96.938,97.891,96.563,96.991,2257900,0.0,0.0
2017-04-03,97.089,97.347,96.198,96.92,1642000,0.0,0.0
2017-04-04,97.053,97.677,96.67,97.561,1266700,0.0,0.0
2017-04-05,98.007,98.933,97.053,97.339,1322800,0.0,0.0
2017-04-06,97.668,98.8,97.294,98.399,1616300,0.0,0.0
2017-04-07,98.345,98.755,97.374,97.401,1334700,0.0,0.0
2017-04-10,97.517,98.194,97.276,97.677,1040200,0.0,0.0
2017-04-11,98.025,99.236,97.445,99.04,2846700,0.0,0.0
