Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,25.376,25.459,24.918,25.239,3225300,0.0,0.0
2017-01-04,25.413,26.072,25.303,25.853,7423300,0.0,0.0
2017-01-05,25.724,25.99,25.715,25.962,3815300,0.0,0.0
2017-01-06,25.834,26.036,25.459,25.505,5339500,0.0,0.0
2017-01-09,25.459,25.779,25.285,25.605,4461000,0.0,0.0
2017-01-10,25.77,25.99,25.532,25.779,3319900,0.0,0.0
2017-01-11,25.733,26.301,25.614,26.201,5440200,0.0,0.0
2017-01-12,26.109,26.329,25.624,26.274,4171300,0.0,0.0
2017-01-13,26.201,26.375,26.027,26.1,2360900,0.0,0.0
2017-01-17,26.008,26.338,25.871,26.164,3699900,0.0,0.0
2017-01-18,26.155,26.265,25.981,26.1,2951700,0.0,0.0
2017-01-19,26.127,26.393,25.614,25.651,4121800,0.0,0.0
2017-01-20,25.715,25.99,25.669,25.926,4869400,0.0,0.0
2017-01-23,26.008,26.429,25.944,26.32,6132700,0.0,0.0
2017-01-24,27.345,28.234,27.025,28.06,11197400,0.0,0.0
2017-01-25,28.307,28.994,28.115,28.728,7794500,0.0,0.0
2017-01-26,28.82,29.213,28.545,28.71,7853000,0.0,0.0
2017-01-27,28.792,28.829,28.234,28.334,4262600,0.0,0.0
2017-01-30,28.261,28.261,27.684,28.124,4935900,0.0,0.0
2017-01-31,28.032,28.05,27.272,27.391,7352000,0.0,0.0
2017-02-01,27.566,27.667,27.106,27.272,6006600,0.1,0.0
2017-02-02,27.4,27.694,27.216,27.455,5309800,0.0,0.0
2017-02-03,27.658,27.768,27.363,27.465,3184400,0.0,0.0
2017-02-06,27.437,27.556,27.079,27.097,4324300,0.0,0.0
2017-02-07,27.226,27.281,26.913,27.033,4037000,0.0,0.0
2017-02-08,27.069,27.501,26.987,27.465,3697600,0.0,0.0
2017-02-09,27.465,27.74,27.143,27.676,3483000,0.0,0.0
2017-02-10,27.749,28.448,27.703,28.319,4099600,0.0,0.0
2017-02-13,28.484,28.53,27.906,27.952,3376300,0.0,0.0
2017-02-14,27.749,27.979,27.52,27.667,4911400,0.0,0.0
2017-02-15,27.667,28.411,27.556,28.264,4986700,0.0,0.0
2017-02-16,28.264,28.393,27.906,27.961,2858600,0.0,0.0
2017-02-17,27.878,28.034,27.658,28.016,2349500,0.0,0.0
2017-02-21,28.117,28.466,28.034,28.393,3336700,0.0,0.0
2017-02-22,28.843,28.898,28.31,28.484,4162100,0.0,0.0
2017-02-23,28.576,28.677,28.218,28.466,3756600,0.0,0.0
2017-02-24,28.356,28.852,28.126,28.843,5569600,0.0,0.0
2017-02-27,28.843,29.449,28.733,29.431,5416400,0.0,0.0
2017-02-28,29.348,29.56,29.164,29.403,4648000,0.0,0.0
2017-03-01,29.615,30.221,29.596,29.955,4863900,0.0,0.0
2017-03-02,29.955,30.157,29.697,29.872,4019400,0.0,0.0
2017-03-03,29.762,29.955,29.321,29.909,4308600,0.0,0.0
2017-03-06,29.688,29.872,29.569,29.78,3170800,0.0,0.0
2017-03-07,29.844,30.387,29.688,30.184,5767200,0.0,0.0
2017-03-08,30.212,30.717,30.12,30.598,3877600,0.0,0.0
2017-03-09,30.589,30.901,30.037,30.368,4185200,0.0,0.0
2017-03-10,30.671,31.14,30.607,30.846,5293800,0.0,0.0
2017-03-13,30.874,30.956,30.451,30.488,4662500,0.0,0.0
2017-03-14,30.387,30.469,29.89,30.23,2580100,0.0,0.0
2017-03-15,30.488,30.754,30.037,30.57,3115600,0.0,0.0
2017-03-16,30.653,31.296,30.543,31.103,5062300,0.0,0.0
2017-03-17,31.076,31.177,30.809,30.929,4393000,0.0,0.0
2017-03-20,30.892,30.947,30.681,30.818,2334400,0.0,0.0
2017-03-21,30.919,30.919,30.157,30.469,4443900,0.0,0.0
2017-03-22,30.506,30.506,29.982,30.304,3942500,0.0,0.0
2017-03-23,30.359,30.772,30.24,30.552,3534700,0.0,0.0
2017-03-24,30.708,30.837,30.432,30.524,3298700,0.0,0.0
2017-03-27,30.111,30.524,30.019,30.368,3642500,0.0,0.0
2017-03-28,30.267,30.708,30.267,30.57,3393400,0.0,0.0
2017-03-29,30.497,30.763,30.331,30.662,3229200,0.0,0.0
2017-03-30,30.662,30.864,30.414,30.717,2391400,0.0,0.0
