Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,75.31,76.99,74.63,75.66,1101800,0.0,0.0
2017-01-04,76.09,78.98,75.89,78.83,2015300,0.0,0.0
2017-01-05,78.71,79.67,78.34,79.13,1564000,0.0,0.0
2017-01-06,79.24,82.39,78.9,82.1,1686600,0.0,0.0
2017-01-09,81.8,82.57,81.3,82.0,1339200,0.0,0.0
2017-01-10,82.25,82.43,81.14,81.67,1268800,0.0,0.0
2017-01-11,81.26,84.9,81.26,83.9,2084700,0.0,0.0
2017-01-12,83.02,83.76,80.91,83.46,1398000,0.0,0.0
2017-01-13,83.82,84.0,82.63,83.53,745800,0.0,0.0
2017-01-17,83.08,83.25,81.29,81.41,879900,0.0,0.0
2017-01-18,83.01,84.35,82.69,82.85,1466100,0.0,0.0
2017-01-19,82.96,83.6,82.39,82.7,1302100,0.0,0.0
2017-01-20,83.12,84.27,83.11,83.4,1251900,0.0,0.0
2017-01-23,83.84,83.91,82.26,83.25,988800,0.0,0.0
2017-01-24,83.86,84.59,82.14,83.97,1487800,0.0,0.0
2017-01-25,84.91,86.96,84.49,86.36,2686400,0.0,0.0
2017-01-26,92.01,92.98,89.41,89.48,4369400,0.0,0.0
2017-01-27,89.01,90.5,88.71,90.09,1980900,0.0,0.0
2017-01-30,89.6,90.33,88.01,90.12,1585700,0.0,0.0
2017-01-31,90.1,90.67,88.95,90.62,1326900,0.0,0.0
2017-02-01,91.17,91.17,89.39,89.7,2884200,0.0,0.0
2017-02-02,89.25,89.84,88.23,88.86,2125400,0.0,0.0
2017-02-03,89.18,89.99,89.12,89.47,2454800,0.0,0.0
2017-02-06,89.19,90.71,88.63,90.5,1441700,0.0,0.0
2017-02-07,90.81,91.16,90.35,90.66,1646900,0.0,0.0
2017-02-08,89.76,90.44,89.39,90.09,1887300,0.0,0.0
2017-02-09,90.14,92.31,90.01,92.3,1820000,0.0,0.0
2017-02-10,92.58,92.82,91.7,92.46,1647400,0.0,0.0
2017-02-13,92.18,92.5,91.5,91.74,959800,0.0,0.0
2017-02-14,91.68,93.3,91.35,92.89,1422500,0.0,0.0
2017-02-15,92.44,94.72,92.33,93.97,1584500,0.0,0.0
2017-02-16,93.94,94.19,91.54,91.85,1411200,0.0,0.0
2017-02-17,91.87,92.97,91.23,92.74,1117000,0.0,0.0
2017-02-21,93.02,93.51,92.17,93.18,617700,0.0,0.0
2017-02-22,92.71,93.67,92.17,92.98,547700,0.0,0.0
2017-02-23,93.36,93.4,91.41,92.65,832000,0.0,0.0
2017-02-24,91.6,92.39,90.66,91.82,1038200,0.0,0.0
2017-02-27,90.61,90.61,86.93,87.75,5592700,0.0,0.0
2017-02-28,87.22,88.28,86.82,86.92,2168300,0.0,0.0
2017-03-01,88.02,88.99,86.74,88.89,3165800,0.0,0.0
2017-03-02,89.09,89.14,86.24,86.34,1411400,0.0,0.0
2017-03-03,86.03,87.19,86.01,86.47,1189500,0.0,0.0
2017-03-06,85.93,86.77,85.56,86.26,1419200,0.0,0.0
2017-03-07,86.33,87.69,86.1,87.06,1478600,0.0,0.0
2017-03-08,87.32,88.27,86.98,87.29,794000,0.0,0.0
2017-03-09,87.31,88.13,86.39,87.83,893200,0.0,0.0
2017-03-10,88.27,88.59,86.9,88.03,857100,0.0,0.0
2017-03-13,88.09,88.86,87.66,88.64,1292800,0.0,0.0
2017-03-14,88.49,88.61,86.68,87.47,1142600,0.0,0.0
2017-03-15,87.88,88.77,87.29,88.41,1020700,0.0,0.0
2017-03-16,88.79,89.37,88.49,88.8,953600,0.0,0.0
2017-03-17,89.05,89.47,88.51,88.71,1006900,0.0,0.0
2017-03-20,88.85,88.95,87.75,88.11,621300,0.0,0.0
2017-03-21,88.8,89.0,83.79,83.93,2410100,0.0,0.0
2017-03-22,83.85,85.19,83.46,85.04,1423400,0.0,0.0
2017-03-23,85.12,85.81,84.13,84.4,860100,0.0,0.0
2017-03-24,85.04,85.69,84.31,84.81,818600,0.0,0.0
2017-03-27,84.24,85.59,83.42,84.87,906200,0.0,0.0
2017-03-28,85.4,86.37,84.83,86.0,940400,0.0,0.0
2017-03-29,86.28,87.88,86.1,87.61,1438400,0.0,0.0
2017-03-30,87.44,87.7,86.81,86.94,771800,0.0,0.0
2017-03-31,86.82,88.0,86.38,87.47,910600,0.0,0.0
2017-04-03,87.6,88.36,85.41,86.22,1249800,0.0,0.0
