Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,88.218,88.638,87.546,87.882,2390700,0.0,0.0
2017-01-04,88.05,88.47,87.79,87.905,1830800,0.0,0.0
2017-01-05,87.821,88.569,87.706,87.951,1856200,0.0,0.0
2017-01-06,87.821,88.325,87.454,88.126,1767000,0.0,0.0
2017-01-09,87.821,87.966,87.439,87.645,1965200,0.0,0.0
2017-01-10,87.538,87.676,86.607,86.996,2892600,0.0,0.0
2017-01-11,86.782,87.416,86.782,87.195,2302700,0.0,0.0
2017-01-12,87.217,87.217,86.523,86.988,1917000,0.0,0.0
2017-01-13,87.21,87.515,87.08,87.24,1788000,0.0,0.0
2017-01-17,86.82,87.141,86.607,87.111,2474700,0.0,0.0
2017-01-18,87.34,88.164,87.072,87.79,2040000,0.0,0.0
2017-01-19,87.798,87.935,87.065,87.263,1848000,0.0,0.0
2017-01-20,87.393,87.821,87.301,87.79,2372900,0.0,0.0
2017-01-23,87.813,87.851,87.164,87.408,1689500,0.0,0.0
2017-01-24,87.515,88.783,87.172,88.623,2157200,0.0,0.0
2017-01-25,88.76,89.447,88.485,89.34,2045000,0.0,0.0
2017-01-26,89.325,89.623,88.997,89.295,1796400,0.0,0.0
2017-01-27,89.348,90.257,89.035,90.18,2283800,0.0,0.0
2017-01-30,90.043,90.051,88.783,89.371,2910300,0.0,0.0
2017-01-31,85.385,85.385,82.994,83.338,12755500,0.0,0.0
2017-02-01,82.315,82.895,78.832,80.451,14684600,0.0,0.0
2017-02-02,80.406,80.719,79.734,80.261,4353400,0.0,0.0
2017-02-03,80.719,81.864,80.436,81.673,4859700,0.0,0.0
2017-02-06,81.421,81.711,80.757,80.994,3444300,0.0,0.0
2017-02-07,81.238,81.322,80.421,80.711,3589500,0.0,0.0
2017-02-08,80.803,81.253,80.574,81.07,3398500,0.0,0.0
2017-02-09,81.07,81.719,80.963,81.299,2416000,0.0,0.0
2017-02-10,81.33,82.093,81.146,81.971,4012800,0.0,0.0
2017-02-13,82.215,82.88,82.116,82.857,3877700,0.0,0.0
2017-02-14,82.994,83.498,82.185,83.231,5878800,0.0,0.0
2017-02-15,83.14,83.369,82.689,83.254,2843000,0.0,0.0
2017-02-16,83.185,83.208,82.077,82.508,5150000,0.83,0.0
2017-02-17,82.308,82.377,81.884,82.261,2919000,0.0,0.0
2017-02-21,82.261,83.008,82.031,82.892,3822500,0.0,0.0
2017-02-22,81.138,82.207,80.984,81.276,5234400,0.0,0.0
2017-02-23,81.569,81.638,80.715,80.869,3976300,0.0,0.0
2017-02-24,80.692,81.715,80.622,81.707,2717400,0.0,0.0
2017-02-27,81.677,82.161,81.376,82.131,2776200,0.0,0.0
2017-02-28,82.092,82.331,81.169,81.384,3793900,0.0,0.0
2017-03-01,82.315,82.631,82.1,82.238,3386200,0.0,0.0
2017-03-02,82.331,82.331,81.461,81.53,2490900,0.0,0.0
2017-03-03,81.669,82.031,81.384,81.515,2732500,0.0,0.0
2017-03-06,81.199,81.854,80.976,81.646,2481900,0.0,0.0
2017-03-07,81.569,81.869,81.192,81.292,2186500,0.0,0.0
2017-03-08,81.292,81.653,80.984,81.361,2269800,0.0,0.0
2017-03-09,81.669,81.753,81.276,81.492,2301000,0.0,0.0
2017-03-10,81.777,82.223,81.376,82.131,2957100,0.0,0.0
2017-03-13,81.977,82.723,81.807,82.715,2644500,0.0,0.0
2017-03-14,82.485,82.662,81.907,82.207,2748900,0.0,0.0
2017-03-15,82.561,83.331,82.223,82.908,3253800,0.0,0.0
2017-03-16,82.954,83.046,82.561,82.954,2409400,0.0,0.0
2017-03-17,83.039,83.854,82.839,83.223,4412200,0.0,0.0
2017-03-20,83.146,83.262,82.284,82.431,2370900,0.0,0.0
2017-03-21,82.731,83.216,81.854,81.961,3088500,0.0,0.0
2017-03-22,82.308,82.469,81.476,81.969,2282200,0.0,0.0
2017-03-23,81.977,82.254,81.084,81.299,2414200,0.0,0.0
2017-03-24,81.33,81.446,80.645,80.838,2526900,0.0,0.0
2017-03-27,80.399,80.784,79.837,80.63,2148400,0.0,0.0
2017-03-28,80.584,81.969,80.415,81.715,3191600,0.0,0.0
2017-03-29,81.299,81.838,81.153,81.592,1889300,0.0,0.0
2017-03-30,81.423,82.215,81.069,82.077,1721600,0.0,0.0
2017-03-31,81.938,82.877,81.938,82.569,2478100,0.0,0.0
2017-04-03,82.846,82.9,81.63,81.877,2645900,0.0,0.0
2017-04-04,81.8,82.107,81.338,82.054,2138600,0.0,0.0
